run_id,genome1,genome2,unique_taxa_names_per_connected_component,coverage,identity,comparision_type_species,comparision_type_genus,cluster_id,genome1_ST,genome2_ST
1.0,GCF_000177175.2 | Streptomyces sp. XylebKG-1 - ST 240:2,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.9115769549,0.9910923927,intra,intra,0,240,12
1.0,GCF_000239075.1 | Streptomyces sp. W007 - ST 243:3,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.7206426208000001,0.9294272765,inter,intra,0,243,12
1.0,GCF_000364805.1 | Streptomyces sp. PAMC 26508 - ST 252:4,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.4394845775,0.8658405338,inter,inter,0,252,12
1.0,GCF_000373405.1 | Streptomyces sp. ScaeMP-e10 - ST 253:5,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.6721013228,0.8899889233,inter,intra,0,253,12
1.0,GCF_000385945.1 | Streptomyces fulvissimus DSM 40593 - ST 174:6,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.6845184232,0.8927149031,inter,intra,0,174,12
1.0,GCF_000716025.1 | Streptomyces baarnensis NRRL B-2842 - ST 268:7,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.7269101548,0.915820338,inter,intra,0,268,12
1.0,GCF_000716935.1 | Streptomyces alboviridis NRRL B-1579 - ST 38:8,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.6323275291,0.8925247794000001,inter,intra,0,38,12
1.0,GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.9263373282,0.9910453467,intra,intra,0,275,12
1.0,GCF_000720395.1 | Streptomyces flavovirens NRRL B-2182 - ST 309:10,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.4355083001,0.8655960103,inter,inter,0,309,12
1.0,GCF_000720405.1 | Streptomyces sp. NRRL B-24051 - ST 310:11,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.4458265288,0.8653306672000001,inter,inter,0,310,12
1.0,GCF_000721595.1 | Streptomyces sp. NRRL S-325 - ST 318:12,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.4425376375,0.8657763003000001,inter,inter,0,318,12
1.0,GCF_001189025.1 | Streptomyces europaeiscabiei NCPPB 4064 - ST 349:13,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.7596588588000001,0.9310492084,inter,intra,0,349,12
1.0,GCF_001418625.1 | Streptomyces luridiscabiei NRRL B-24455 - ST 372:14,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.6676222178,0.8928888206000001,inter,intra,0,372,12
1.0,GCF_001426325.1 | Streptomyces sp. Root1295 - ST 376:15,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.7182338500000001,0.9301337585,inter,intra,0,376,12
1.0,GCF_001427565.1 | Streptomyces sp. Root63 - ST 376:16,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.718194929,0.9305156497,inter,intra,0,376,12
1.0,GCF_001434355.1 | Streptomyces anulatus ATCC 11523 - ST 378:17,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.7454000788,0.9310363652,inter,intra,0,378,12
1.0,GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.9789097602,0.9995054981,intra,intra,0,12,12
1.0,GCF_001905485.1 | Streptomyces sp. TSRI0261 - ST 417:19,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.7347253201,0.9310739859,inter,intra,0,417,12
1.0,GCF_001905525.1 | Streptomyces sp. TSRI0395 - ST 419:20,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.7562225524,0.9308409085,inter,intra,0,419,12
1.0,GCF_001905575.1 | Streptomyces sp. CB00072 - ST 420:21,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.7344037565,0.9293034122,inter,intra,0,420,12
1.0,GCF_001905645.1 | Streptomyces sp. CB02115 - ST 421:22,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1,11,0.7623127792000001,0.9300347273,inter,intra,0,421,12
