FILE	SCHEME	ST	16S	atpD	gyrB	recA	rpoB	trpB
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000009765.2_ASM976v2_genomic.gbff	streptomyces_pubMLST	-	93,93,93,93,93,93	119	117	123	118	135
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000010605.1_ASM1060v1_genomic.gbff	streptomyces_pubMLST	-	6,6,6,6,6,6	6	8	8	8	8
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000091305.1_ASM9130v1_genomic.gbff	streptomyces_pubMLST	218	136	165	161	166	165	180
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000092385.1_ASM9238v1_genomic.gbff	streptomyces_pubMLST	-	~39	50	~49	~48	~50	~55
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000147815.2_ASM14781v3_genomic.gbff	streptomyces_pubMLST	-	~49	61?	~85	~69	~85	~67
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000148465.1_Scla_1.0_genomic.gbff	streptomyces_pubMLST	-	98,98,98	126	123	130	125	141
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000156695.2_ASM15669v2_genomic.gbff	streptomyces_pubMLST	-	16?	~104	~39	~23	~105	~3
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000163875.1_Strep_clav_ATCC27064_genomic.gbff	streptomyces_pubMLST	-	98,98,98,98	126	123	130	125	141
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000176115.2_ASM17611v2_genomic.gbff	streptomyces_pubMLST	-	6,8,8,8,8	38	36	36	38	41
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000177175.2_ASM17717v2_genomic.gbff	streptomyces_pubMLST	-	6,6,6	6	6	6	8	~122
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000177195.2_ASM17719v2_genomic.gbff	streptomyces_pubMLST	-	31,31,31,31,31,31	~40	~38	~37	39	~43
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000179195.1_ASM17919v1_genomic.gbff	streptomyces_pubMLST	-	88?	151?	-	-	-	-
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000179215.1_ASM17921v1_genomic.gbff	streptomyces_pubMLST	-	99?	151?	-	-	-	-
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000204605.1_ASM20460v1_genomic.gbff	streptomyces_pubMLST	-	-	~154	-	~137	~123	-
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000213055.1_ASM21305v1_genomic.gbff	streptomyces_pubMLST	-	88?	153?	-	-	-	-
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000220705.2_ASM22070v2_genomic.gbff	streptomyces_pubMLST	-	150,150	180	176	181	180	195
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000225525.1_ASM22552v1_genomic.gbff	streptomyces_pubMLST	236	153	183	179	184	183	198
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000226455.1_ASM22645v1_genomic.gbff	streptomyces_pubMLST	-	~86	~139	-	~112	~109	~127
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000237305.1_ASM23730v1_genomic.gbff	streptomyces_pubMLST	-	~132	129?	-	-	-	-
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000239075.1_ASM23907v2_genomic.gbff	streptomyces_pubMLST	-	8	~11	~29	~12	~12	~31
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000240165.1_ASM24016v1_genomic.gbff	streptomyces_pubMLST	-	~132	129?	-	-	-	-
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000241835.1_ASM24183v2_genomic.gbff	streptomyces_pubMLST	-	~99	~175	~124	~176	~185	~190
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000245355.1_ASM24535v1_genomic.gbff	streptomyces_pubMLST	-	~85	~143	~140	~101	~108	~157
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000253235.1_ASM25323v1_genomic.gbff	streptomyces_pubMLST	-	~14	15	16	16	16	16
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000261345.2_ASM26134v2_genomic.gbff	streptomyces_pubMLST	-	3,3,3,3,3,3	~34	~22	~10	~24	123?
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000262345.1_Streptomyces_sulphureus_L180_version_1.0_genomic.gbff	streptomyces_pubMLST	-	-	~171	~167	~172	~171	186?
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000280865.2_ASM28086v2_genomic.gbff	streptomyces_pubMLST	-	~61	78?	-	~120	~60	-
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000280905.1_ASM28090v1_genomic.gbff	streptomyces_pubMLST	-	-	115?	-	-	-	-
