FILE	SCHEME	ST	16S	atpD	gyrB	recA	rpoB	trpB
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000009765.2_ASM976v2_genomic.gbff	scheme_round_1	-	93,93,93,93,93,93	119	117	123	118	135
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000010605.1_ASM1060v1_genomic.gbff	scheme_round_1	-	6,6,6,6,6,6	6	8	8	8	8
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000091305.1_ASM9130v1_genomic.gbff	scheme_round_1	-	136,251,251,251,251,251	165	161	166	165	180
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000092385.1_ASM9238v1_genomic.gbff	scheme_round_1	-	521,521,521,521,521,521	50	453	641	624	547
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000147815.2_ASM14781v3_genomic.gbff	scheme_round_1	-	269,269,269,269	323	268	339	337	309
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000148465.1_Scla_1.0_genomic.gbff	scheme_round_1	-	98,98,98	126	123	130	125	141
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000156695.2_ASM15669v2_genomic.gbff	scheme_round_1	-	469?	597	440	626	607	531
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000163875.1_Strep_clav_ATCC27064_genomic.gbff	scheme_round_1	-	98,98,98,98	126	123	130	125	141
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000176115.2_ASM17611v2_genomic.gbff	scheme_round_1	-	6,8,8,8,8	38	36	36	38	41
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000177175.2_ASM17717v2_genomic.gbff	scheme_round_1	-	6,6,6	6	6	6	8	281
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000177195.2_ASM17719v2_genomic.gbff	scheme_round_1	-	31,31,31,31,31,31	206	188	208	39	215
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000179195.1_ASM17919v1_genomic.gbff	scheme_round_1	-	~515	851?	-	-	-	-
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000179215.1_ASM17921v1_genomic.gbff	scheme_round_1	-	264?	851?	-	-	-	-
supplementary_files/supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000204605.1_ASM20460v1_genomic.gbff	scheme_round_1	-	-	433	-	608	453	-
